% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.028955         197       147           setsockopt
  0.00    0.000000           0         1           shutdown
  0.00    0.103601        1233        84           socket
  0.00    0.000002           1         2           socketpair
  0.03    0.544442           3    163337      3094 stat
  0.00    0.000038           8         5           sysinfo
  0.00    0.000005           1         5           uname
  0.00    0.000000           0         3           unlink
  0.00    0.000049           0       191           utimes
  1.60   34.499926     2029407        17           wait4
  0.00    0.021623           1     15063           write
------ ----------- ----------- --------- --------- ----------------
100.00 2159.635849               2606448     71747 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000119           5        26        17 access
  0.00    0.000004           4         1           arch_prctl
  0.00    0.000024           6         4           bind
  0.00    0.000017           4         4           brk
  0.00    0.000010           5         2           clock_getres
  0.00    0.000917          13        70           clone
  0.00    0.000557           2       262           close
  0.00    0.004606          61        76        61 connect
  0.00    0.000075           2        50           dup2
  0.00    0.000005           1         6         5 execve
  0.00    0.000014           4         4           fchdir
  0.00    0.012911          51       254           fcntl
  0.00    0.000666           2       281           fstat
  0.00    0.000020          10         2           ftruncate
 25.58  519.145196        2974    174545     68825 futex
  0.00    0.000000           0         3           getcwd
  0.00    0.000308           6        54           getdents
  0.00    0.000013           3         4           geteuid
  0.00    0.000007           2         3           getpid
  0.00    0.001683          29        58         1 getsockname
  0.00    0.000599          12        49           getsockopt
  0.00    0.000134           2        69           gettid
  0.00    0.000000           0         1           getuid
  0.00    0.000011           0        64           ioctl
  0.00    0.009595           2      5169        46 lseek
  0.00    0.000363           2       189         2 lstat
  0.00    0.001468          22        66           madvise
  0.00    0.000004           4         1         1 mkdir
  0.00    0.008307          10       814           mmap
  0.00    0.009909           3      3142           mprotect
  0.00    0.000539           6        83           munmap
  0.00    0.001215           5       250        38 openat
  0.00    0.000004           4         1           pipe
  0.00    0.030722          49       626           poll
  0.00    0.000209           3        68           prctl
  0.00    0.000033           4         8           prlimit64
  0.00    0.017211           3      6648           read
  0.00    0.000036          18         2           readlink
 72.26 1466.378459        1466   1000532           recvfrom
  0.00    0.008365         837        10           recvmsg
  0.00    0.000073           3        25           rt_sigaction
  0.00    0.000453           2       264           rt_sigprocmask
  0.00    0.000014           2         7           rt_sigreturn
  0.00    0.000406           3       141           sched_getaffinity
  0.02    0.334217           9     38869           sched_yield
  0.00    0.000058          58         1           sendmmsg
  0.52   10.609346          11   1000435           sendto
  0.00    0.000193           3        71           set_robust_list
  0.00    0.000004           4         1           set_tid_address
  0.00    0.012799          87       147           setsockopt
  0.00    0.000000           0         1           shutdown
  0.00    0.054889         732        75           socket
  0.00    0.000000           0         1           socketpair
  0.00    0.001020           4       233        50 stat
  0.00    0.000012           6         2           sysinfo
  0.00    0.000005           2         3           uname
  0.00    0.000000           0         1           unlink
  1.60   32.536902    16268451         2           wait4
  0.00    0.024864          29       849           write
------ ----------- ----------- --------- --------- ----------------
100.00 2029.209590               2234629     69046 total
