% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000762           8        91           madvise
  0.00    0.000006           3         2         2 mkdir
  0.01    0.006742           3      2223           mmap
  0.02    0.010901           2      5769           mprotect
  0.00    0.002066           3       763           munmap
  0.09    0.051521           4     14092       694 openat
  0.00    0.000039           2        16           pipe
  0.00    0.000370           5        68           poll
  0.00    0.000325           3        94           prctl
  0.00    0.000032           2        18           prlimit64
  0.10    0.062596           2     40708           read
  0.00    0.000128           3        49         2 readlink
  5.92    3.527271        2739      1288           recvfrom
  0.01    0.005656         707         8           recvmsg
  0.00    0.000075           1       127           rt_sigaction
  0.00    0.000757           2       361           rt_sigprocmask
  0.00    0.000092           1        77           rt_sigreturn
  0.00    0.000606           3       198           sched_getaffinity
  0.00    0.001044           2       444           sched_yield
  0.00    0.000000           0         1           sendmmsg
  0.05    0.028466          24      1165           sendto
  0.00    0.000260           3       101           set_robust_list
  0.00    0.000009           3         3           set_tid_address
  0.02    0.013483          85       159           setsockopt
  0.00    0.000000           0         1           shutdown
  0.03    0.019849         218        91           socket
  0.00    0.000002           1         2           socketpair
  1.05    0.624052           4    162876      3097 stat
  0.00    0.000009           2         5           sysinfo
  0.00    0.000017           3         5           uname
  0.00    0.000000           0         3           unlink
  0.00    0.000450           2       191           utimes
  1.95    1.165549       68562        17           wait4
  0.04    0.021358           1     14580           write
------ ----------- ----------- --------- --------- ----------------
100.00   59.625671                465443     12238 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000117           1       227        62 access
  0.00    0.000000           0         7           arch_prctl
  0.00    0.000007           2         4           bind
  0.00    0.000025           1        32           brk
  0.00    0.000000           0         5           chdir
  0.00    0.000009           2         4           clock_getres
  0.00    0.000678           6       113           clone
  0.05    0.028152           2     13314           close
  0.00    0.001397          15        94        76 connect
  0.00    0.000307           5        68           dup2
  0.00    0.000000           0        14         8 execve
  0.00    0.000000           0         2           faccessat
  0.00    0.000013           2         8           fchdir
  0.01    0.003430           1      3087           fcntl
  0.04    0.022631           1     16799           fstat
  0.00    0.000061          10         6           ftruncate
 88.31   52.180816         995     52423      9018 futex
  0.00    0.000022           2         9           getcwd
  0.15    0.089237           5     19482           getdents
  0.00    0.000002           1         3           getegid
  0.00    0.000013           1        15           geteuid
  0.00    0.000001           0         3           getgid
  0.00    0.000010           1         9           getpid
  0.00    0.000000           0         2           getppid
  0.00    0.000177           3        63         2 getsockname
  0.00    0.000871          16        53           getsockopt
  0.00    0.000185           2        96           gettid
  0.00    0.000013           3         5           getuid
  0.00    0.000084           1        80         7 ioctl
  0.04    0.022835           1     27970        47 lseek
  0.39    0.232101           3     88438        18 lstat
  0.00    0.000525           6        85           madvise
  0.00    0.000005           3         2         2 mkdir
  0.01    0.004893           2      2262           mmap
  0.01    0.007780           1      5750           mprotect
  0.00    0.001282           2       763           munmap
  0.06    0.036283           3     14091       694 openat
  0.00    0.000010           1        16           pipe
  0.00    0.000262           4        72           poll
  0.00    0.000261           3        94           prctl
  0.00    0.000034           2        18           prlimit64
  0.11    0.064102           2     40818           read
  0.00    0.000063           1        49         2 readlink
  8.96    5.296457        4119      1286           recvfrom
  0.01    0.008155         816        10           recvmsg
  0.00    0.000304           2       127           rt_sigaction
  0.00    0.000584           2       360           rt_sigprocmask
  0.00    0.000038           0        82           rt_sigreturn
  0.00    0.000587           3       198           sched_getaffinity
  0.00    0.001286           2       778           sched_yield
  0.00    0.000000           0         1           sendmmsg
  0.05    0.031811          27      1168           sendto
  0.00    0.000213           2       101           set_robust_list
  0.00    0.000000           0         3           set_tid_address
  0.01    0.003166          20       159           setsockopt
  0.00    0.000002           2         1           shutdown
  0.00    0.002732          30        91           socket
  0.00    0.000006           3         2           socketpair
  0.84    0.494883           3    162880      3097 stat
  0.00    0.000042           8         5           sysinfo
  0.00    0.000012           2         5           uname
  0.00    0.000049          16         3           unlink
  0.00    0.000109           1       191           utimes
  0.89    0.528575       31093        17           wait4
  0.04    0.022212           2     14572           write
------ ----------- ----------- --------- --------- ----------------
100.00   59.089917                468495     13033 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000293           1       227        62 access
  0.00    0.000014           2         7           arch_prctl
  0.00    0.000016           5         3           bind
  0.00    0.000100           3        32           brk
  0.00    0.000007           1         5           chdir
  0.00    0.000017           4         4           clock_getres
  0.00    0.000639           6       113           clone
  0.05    0.028859           2     13322           close
  0.00    0.001560          16        96        77 connect
  0.00    0.000013           0        68           dup2
  0.00    0.000061           4        15         8 execve
  0.00    0.000017           9         2           faccessat
  0.00    0.000015           2         8           fchdir
  0.01    0.007317           2      3087           fcntl
  0.04    0.026007           2     16807           fstat
  0.00    0.000043           7         6           ftruncate
 89.33   52.425189        1039     50452      8400 futex
  0.00    0.000013           1         9           getcwd
  0.16    0.092124           5     19482           getdents
  0.00    0.000011           4         3           getegid
  0.00    0.000038           3        15           geteuid
  0.00    0.000008           3         3           getgid
  0.00    0.000025           3         9           getpid
  0.00    0.000007           4         2           getppid
  0.00    0.002799          45        62         2 getsockname
  0.00    0.000067           1        53           getsockopt
  0.00    0.000248           3        96           gettid
  0.00    0.000013           3         5           getuid
  0.00    0.000034           0        83         7 ioctl
  0.03    0.018957           1     28036        47 lseek
  0.44    0.255406           3     88440        18 lstat
  0.00    0.000702           8        84           madvise
  0.00    0.000005           3         2         2 mkdir
  0.01    0.005345           2      2251           mmap
  0.02    0.008992           2      5884           mprotect
  0.00    0.002204           3       772           munmap
  0.07    0.039613           3     14099       694 openat
  0.00    0.000079           5        16           pipe
  0.00    0.002195          31        70           poll
  0.00    0.000160           2        94           prctl
  0.00    0.000048           3        18           prlimit64
  0.11    0.062515           2     40881           read
  0.00    0.000116           2        49         2 readlink
  8.08    4.740710        3440      1378           recvfrom
  0.01    0.005627         703         8           recvmsg
  0.00    0.000179           1       127           rt_sigaction
  0.00    0.000640           2       361           rt_sigprocmask
  0.00    0.000140           2        82           rt_sigreturn
  0.00    0.000406           2       198           sched_getaffinity
  0.01    0.003524           3      1366           sched_yield
  0.00    0.000000           0         1           sendmmsg
  0.06    0.034206          29      1166           sendto
  0.00    0.000197           2       101           set_robust_list
  0.00    0.000009           3         3           set_tid_address
  0.00    0.001972          12       159           setsockopt
  0.00    0.000000           0         1           shutdown
  0.00    0.001424          16        91           socket
  0.00    0.000001           1         2           socketpair
  0.92    0.537970           3    162884      3097 stat
  0.00    0.000024           5         5           sysinfo
  0.00    0.000007           1         5           uname
  0.00    0.000032          11         3           unlink
  0.00    0.001223           6       191           utimes
  0.60    0.353362       20786        17           wait4
  0.04    0.023152           2     14581           write
------ ----------- ----------- --------- --------- ----------------
100.00   58.686696                467502     12416 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000290           1       227        62 access
  0.00    0.000012           2         7           arch_prctl
  0.00    0.000024           6         4           bind
  0.00    0.000055           2        32           brk
  0.00    0.000007           1         5           chdir
  0.00    0.000018           5         4           clock_getres
  0.00    0.001126          10       113           clone
  0.04    0.030196           2     13318           close
  0.01    0.006339          67        94        76 connect
  0.00    0.000360           5        68           dup2
  0.00    0.000075           5        15         8 execve
  0.00    0.000010           5         2           faccessat
  0.00    0.000036           5         8           fchdir
  0.02    0.016031           5      3087           fcntl
  0.03    0.026106           2     16803           fstat
  0.00    0.000060          10         6           ftruncate
 91.93   72.873580        1445     50428      8106 futex
  0.00    0.000010           1         9           getcwd
  0.13    0.101619           5     19482           getdents
  0.00    0.000006           2         3           getegid
  0.00    0.000047           3        15           geteuid
  0.00    0.000007           2         3           getgid
  0.00    0.000010           1         9           getpid
  0.00    0.000003           2         2           getppid
  0.00    0.003132          50        63         2 getsockname
  0.00    0.002897          55        53           getsockopt
  0.00    0.000216           2        96           gettid
  0.00    0.000011           2         5           getuid
  0.00    0.000027           0        79         7 ioctl
  0.03    0.020257           1     28004        47 lseek
  0.30    0.240230           3     88434        18 lstat
  0.00    0.000801           9        94           madvise
  0.00    0.000013           7         2         2 mkdir
  0.01    0.006391           3      2218           mmap
  0.01    0.009633           2      5662           mprotect
  0.00    0.001405           2       767           munmap
  0.05    0.039795           3     14095       694 openat
  0.00    0.000074           5        16           pipe
  0.01    0.007541         108        70           poll
  0.00    0.000412           4        94           prctl
  0.00    0.000063           4        18           prlimit64
  0.06    0.050580           1     40809           read
  0.00    0.000137           3        49         2 readlink
  5.81    4.605956        3422      1346           recvfrom
  0.01    0.008346         835        10           recvmsg
  0.00    0.000191           2       127           rt_sigaction
  0.00    0.001507           4       360           rt_sigprocmask
  0.00    0.000088           1        70           rt_sigreturn
  0.00    0.000736           4       198           sched_getaffinity
  0.01    0.010663          16       667           sched_yield
  0.00    0.000059          59         1           sendmmsg
  0.05    0.041915          36      1167           sendto
  0.00    0.000328           3       101           set_robust_list
  0.00    0.000008           3         3           set_tid_address
  0.01    0.008228          52       159           setsockopt
  0.00    0.000001           1         1           shutdown
  0.29    0.232060        2550        91           socket
  0.00    0.000005           3         2           socketpair
  0.65    0.515989           3    162872      3097 stat
  0.00    0.000036           7         5           sysinfo
  0.00    0.000011           2         5           uname
  0.00    0.000010           3         3           unlink
  0.00    0.000053           0       191           utimes
  0.49    0.388249       22838        17           wait4
  0.02    0.015965           1     14580           write
------ ----------- ----------- --------- --------- ----------------
100.00   79.270046                466348     12121 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000177           1       230        65 access
  0.00    0.000004           1         8           arch_prctl
  0.00    0.000010           3         4           bind
  0.00    0.000062           2        35           brk
  0.00    0.000000           0         5           chdir
  0.00    0.000010           3         4           clock_getres
  0.00    0.000793           7       113           clone
  0.06    0.030560           2     13321           close
  0.01    0.003216          34        94        76 connect
  0.00    0.000218           3        68           dup2
  0.00    0.000000           0        22        14 execve
  0.00    0.000000           0         2           faccessat
  0.00    0.000019           2         8           fchdir
  0.04    0.018482           6      3087           fcntl
  0.05    0.026526           2     16806           fstat
  0.00    0.000028           5         6           ftruncate
 91.27   45.397232         910     49901      7765 futex
  0.00    0.000023           3         9           getcwd
  0.19    0.095441           5     19482           getdents
  0.00    0.000003           1         3           getegid
  0.00    0.000023           2        15           geteuid
  0.00    0.000003           1         3           getgid
  0.00    0.000006           1         9           getpid
  0.00    0.000000           0         2           getppid
  0.00    0.000240           4        63         2 getsockname
  0.00    0.001994          38        53           getsockopt
  0.00    0.000222           2        96           gettid
  0.00    0.000004           1         5           getuid
  0.00    0.000017           0        80         7 ioctl
  0.04    0.019014           1     28002        47 lseek
  0.52    0.258433           3     88436        18 lstat
  0.00    0.000418           5        90           madvise
  0.00    0.000006           3         2         2 mkdir
  0.01    0.004127           2      2249           mmap
  0.02    0.008383           1      5697           mprotect
  0.00    0.001486           2       766           munmap
  0.08    0.040224           3     14098       694 openat
  0.00    0.000025           2        16           pipe
  0.01    0.006255          92        68           poll
  0.00    0.000336           4        94           prctl
  0.00    0.000039           2        18           prlimit64
  0.12    0.059144           1     40860           read
  0.00    0.000039           1        49         2 readlink
  5.41    2.689957        1984      1356           recvfrom
  0.02    0.008398         840        10           recvmsg
  0.00    0.000100           1       127           rt_sigaction
  0.00    0.000676           2       360           rt_sigprocmask
  0.00    0.000138           2        78           rt_sigreturn
  0.00    0.000620           3       198           sched_getaffinity
  0.01    0.002732           5       606           sched_yield
  0.00    0.000000           0         1           sendmmsg
  0.19    0.093957          81      1166           sendto
  0.00    0.000269           3       101           set_robust_list
  0.00    0.000004           1         3           set_tid_address
  0.02    0.009485          60       159           setsockopt
  0.00    0.000000           0         1           shutdown
  0.26    0.127768        1404        91           socket
  0.00    0.000000           0         2           socketpair
  1.08    0.535625           3    162876      3097 stat
  0.00    0.000023           5         5           sysinfo
  0.00    0.000003           1         5           uname
  0.00    0.000258          86         3           unlink
  0.00    0.000457           2       191           utimes
  0.57    0.281812       16577        17           wait4
  0.03    0.016357           1     14579           write
------ ----------- ----------- --------- --------- ----------------
100.00   49.741881                465914     11789 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000295           1       227        62 access
  0.00    0.000008           1         7           arch_prctl
  0.00    0.000005           2         3           bind
  0.00    0.000038           1        32           brk
  0.00    0.000000           0         5           chdir
  0.00    0.000021           5         4           clock_getres
  0.00    0.001144          10       113           clone
  0.05    0.028657           2     13314           close
  0.01    0.005023          52        96        77 connect
  0.00    0.000603           9        68           dup2
  0.00    0.000003           0        21        14 execve
  0.00    0.000000           0         2           faccessat
  0.00    0.000037           5         8           fchdir
  0.04    0.020326           7      3087           fcntl
  0.04    0.023985           1     16799           fstat
  0.00    0.000049           8         6           ftruncate
 88.24   50.931529        1005     50676      8655 futex
  0.00    0.000017           2         9           getcwd
  0.17    0.097015           5     19482           getdents
  0.00    0.000000           0         3           getegid
  0.00    0.000033           2        15           geteuid
  0.00    0.000000           0         3           getgid
  0.00    0.000007           1         9           getpid
  0.00    0.000000           0         2           getppid
